id,topic,title,text,answer,comment
1,value,"A working solution is delivered in 90 days or less after taking a decision to meet a business need (when achieved, go lower â€“ for new work, aim for less than 30 days)","Some explanation about this practice. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.1",,
2,value,"The project/team/group exists to fulfil a clearly articulated vision or goal","Some explanation about this practice. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.2",,
3,value,"All top-level demand increments have an associated business purpose which is testable","Some explanation about this practice. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.3",,
4,value,"New demand is either rejected or admitted soon after it arrives (ideally within a week)","Some explanation about this practice. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.4",,
5,value,"All demand is owned by an empowered business representative who negotiates its priority","Some explanation about this practice. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.5",,
6,value,"Someone with business knowledge who represents the customer is always available","Some explanation about this practice. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.6",,
7,value,"Desired outcomes change and are updated during delivery","Some explanation about this practice. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.7",,
8,flow,"Demand is structured and the flow of related work is visualized, managed and measured end-to-end","Some explanation about this practice. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.8",,
9,flow,"Work is pulled from one or more dynamically prioritized backlogs only when there is capacity to do so","Some explanation about this practice. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.9",,
10,flow,"Work always starts within a few days of demand having been pulled from a dynamically prioritized backlog","Some explanation about this practice. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.10",,
11,flow,"The number of items being worked on is actively managed in at least one location of the flow","Some explanation about this practice. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.11",,
12,flow,The level and impact of technical debt is measured and its repayment is prioritized alongside other items of work,"Some explanation about this practice. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.12",,
13,flow,Work is broken down such that completing the largest items never takes longer that 2 weeks,"Some explanation about this practice. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.13",,
14,flow, Everyone has the toolset they deem necessary to work effectively,"Some explanation about this practice. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.14",,
15,quality,"When a feature is completed, it is demonstrated to the customer for feedback","Some explanation about this practice. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.15",,
16,quality,Feedback about whether a feature is releasable is obtained within the delivery period (e.g. a timebox),"Some explanation about this practice. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.16",,
17,quality,Developers get near immediate feedback about whether changes they are making work or not,"Some explanation about this practice. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.17",,
18,quality,"A defined set of metrics on code quality in digital solutions is collected, reported on and monitored","Some explanation about this practice. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.18",,
19,quality,"Everyone is in the habit of using collaborative/creative working sessions and shares learning regularly","Some explanation about this practice. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.19",,
20,quality,"Time for reflection is regularly scheduled to capture learning and effect improvements in ways of working","Some explanation about this practice. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.20",,
21,quality,"Everyone proactively strives to shorten feedback cycles","Some explanation about this practice. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.21",,